time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,,,,
0.172261,187.05,15281,0.775853,0.645929,,,,,,,,,,,,
0.166922,186.406,15273,0.7752,0.645244,,,,,,,,,,,,
0.164132,184.118,15262,0.776192,0.645232,,,,,,,,,,,,
0.166344,183.789,15165,0.777016,0.645176,,,,,,,,,,,,
0.171608,183.933,15091,0.777202,0.644986,,,,,,,,,,,,
0.168498,182.186,15139,0.778105,0.645852,,,,,,,,,,,,
0.165753,183.368,15180,0.776278,0.645186,,,,,,,,,,,,
0.167596,185.979,15211,0.776588,0.64454,,,,,,,,,,,,
0.167809,183.935,15178,0.776727,0.645486,,,,,,,,,,,,
0.169389,185.563,15182,0.775838,0.645563,,,,,,,,,,,,
0.167632,184.189,15206,0.777108,0.645073,,,,,,,,,,,,
0.171403,184.14,15143,0.77678,0.644745,,,,,,,,,,,,
0.164489,185.524,15234,0.776736,0.64507,,,,,,,,,,,,
0.168051,185.091,15203,0.776496,0.645262,,,,,,,,,,,,
0.168723,183.508,15176,0.777158,0.644898,,,,,,,,,,,,
0.172725,184.405,15191,0.776252,0.645536,,,,,,,,,,,,
0.175278,180.519,15199,0.77717,0.645404,,,,,,,,,,,,
0.170966,185.559,15289,0.775069,0.645587,,,,,,,,,,184.3456,,
0.176964,183.282,15205,0.777447,0.645144,,,,,,,,,,,,
0.173033,184.368,15158,0.777373,0.645192,,,,,,,,,,,,
,,,,,,,,,,,,,,15198.3,15289,198
,,,,,,,,,,,,,,,15091,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.7766294,0.778105,0.003036
,,,,,,,,,,,,,,,0.775069,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.64525525,0.645929,0.001389
,,,,,,,,,,,,,,,0.64454,
