time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,
3.39519e-313,6.53352,130,0.916927,0.508226,,,,,,,,,
3.39519e-313,6.44743,137,0.91785,0.513406,,,,,,,,,
3.39519e-313,6.13073,126,0.917689,0.509,,,,,,,,,
3.39519e-313,6.27567,123,0.916939,0.508635,,,,,,,,,
3.39519e-313,5.95156,129,0.91767,0.511383,,,,,,,,,
3.39519e-313,5.85126,125,0.917474,0.507469,,,,,,,,,
3.39519e-313,6.03268,126,0.917612,0.507943,,,,,,,,,
3.39519e-313,6.58475,126,0.917018,0.511074,,,,,,,,,
3.39519e-313,6.06811,119,0.917697,0.507408,,,,,,,,,
3.39519e-313,5.79019,124,0.916699,0.50567,,,,,,,,,
3.39519e-313,5.92245,128,0.917432,0.509062,,,,,,,,,
3.39519e-313,6.73425,128,0.916868,0.508031,,,,,,,,,
3.39519e-313,7.16848,134,0.917249,0.510959,,,,,,,,,
3.39519e-313,6.1319,128,0.917774,0.507347,,,,,,,,,
3.39519e-313,7.21595,135,0.917374,0.510565,,,,,,,,,
3.39519e-313,6.4463,121,0.916869,0.505381,,,,,,,6.3485835,,
3.39519e-313,6.29841,131,0.917835,0.508259,,,,,,,,,
3.39519e-313,6.32536,120,0.91683,0.505014,,,,,,,,,
3.39519e-313,6.6542,130,0.916376,0.507063,,,,,,,,,
3.39519e-313,6.40847,128,0.91774,0.507004,,,,,,,127.4,137,18
,,,,,,,,,,,,119,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,0.9172961,0.91785,0.001474
,,,,,,,,,,,,0.916376,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,0.50844495,0.513406,0.008392
,,,,,,,,,,,,0.505014,
