time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,,,
3.39519e-313,37.3944,3378,0.710891,0.0575268,,,,,,,,,,,
3.39519e-313,39.6445,4839,0.706484,0.0576001,,,,,,,,,,,
3.39519e-313,34.0909,4612,0.709211,0.0572549,,,,,,,,,,,
3.39519e-313,40.0036,4653,0.706544,0.0574499,,,,,,,,,,,
3.39519e-313,34.1451,3617,0.709754,0.0577579,,,,,,,,,,,
3.39519e-313,36.1848,4159,0.71088,0.0576659,,,,,,,,,,,
3.39519e-313,35.8054,3850,0.685377,0.0569723,,,,,,,,,,,
3.39519e-313,32.7122,3472,0.710059,0.0573404,,,,,,,,,,,
3.39519e-313,34.5008,5081,0.707244,0.0568111,,,,,,,,,,,
3.39519e-313,37.0535,3271,0.705076,0.0576861,,,,,,,,,,,
3.39519e-313,34.9111,3583,0.707793,0.0573124,,,,,,,,,,,
3.39519e-313,37.598,4150,0.704599,0.0578355,,,,,,,,,,,
3.39519e-313,46.9697,3219,0.704735,0.0582451,,,,,,,,,,,
3.39519e-313,33.9436,3893,0.709078,0.0579968,,,,,,,,,,,
3.39519e-313,34.9445,5249,0.708746,0.0574009,,,,,,,,,,,
3.39519e-313,34.017,4272,0.709068,0.0573727,,,,,,,,,,,
3.39519e-313,39.184,5041,0.707211,0.0575213,,,,,,,,,,,
3.39519e-313,35.6495,4618,0.707379,0.0571817,,,,,,,,,,,
3.39519e-313,43.4525,3997,0.705615,0.0579801,,,,,,,,,36.851965,,
3.39519e-313,34.8342,3939,0.709063,0.0577749,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4144.65,5249,2030
,,,,,,,,,,,,,,3219,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.70674035,0.710891,0.025514
,,,,,,,,,,,,,,0.685377,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.05753434,0.0582451,0.001434
,,,,,,,,,,,,,,0.0568111,
